Customer Id,Artist Name,Artist Reputation,Height,Width,Weight,Material,Price Of Sculpture,Base Shipping Price,International,Express Shipment,Installation Included,Transport,Fragile,Customer Information,Remote Location,Scheduled Date,Delivery Date,Customer Location,Cost
fffe3100350039003500,Anthony Flanagan,0.12,37.0,19.0,17431.0,Clay,75.0,77.43,No,Yes,No,,Yes,Working Class,No,01/10/19,01/13/19,"Melindaton, IL 80050",-638.57
fffe3100330031003300,James Chesson,0.88,8.0,4.0,,,6.02,23.79,No,No,Yes,Roadways,No,Working Class,No,07/23/18,07/23/18,DPO AP 21809,-535.14
fffe3600340034003800,Wayne Fancher,,9.0,4.0,4222.0,,20.26,13.0,No,No,No,Roadways,No,Working Class,,01/13/17,01/17/17,"New Patriciaton, CO 69789",-319.95
fffe3500310031003400,Philip Jaimes,0.89,10.0,4.0,43.0,,6.37,17.59,No,No,Yes,,No,Wealthy,No,10/11/15,10/15/15,"New Catherine, OR 57832",-498.95
fffe3600360037003600,Emily Simpson,0.51,9.0,5.0,327.0,Clay,3.28,16.96,Yes,No,No,Waterways,Yes,Working Class,Yes,06/14/16,06/18/16,"Paultown, MI 24392",-186.92
fffe3600310039003900,Dominic Barnett,0.73,22.0,10.0,464792.0,,2765.63,84.21,Yes,Yes,No,Airways,No,Wealthy,No,03/18/19,03/21/19,"Kristieberg, NV 32387",-14759.23
fffe3700340030003700,Sharon Miller,0.57,31.0,16.0,63990.0,Brass,219.6,44.1,Yes,No,Yes,Waterways,No,Working Class,No,06/11/18,06/07/18,"North Brandonport, ME 52386",-1562.12
fffe3700360039003100,Lesley Crate,0.14,16.0,6.0,101.0,Wood,6.32,17.64,Yes,No,Yes,Airways,No,Working Class,No,05/20/15,05/20/15,"Port Joelside, IL 39220",-154.09
fffe3200390038003200,Hubert Grant,,10.0,5.0,1163.0,Brass,5.72,23.68,No,Yes,Yes,,No,Working Class,,02/09/15,02/12/15,"Lynnchester, MD 86686",-409.15
fffe3400340037003800,Vernon Castaneda,0.81,4.0,3.0,,Brass,4.43,17.42,No,Yes,No,,No,Working Class,No,07/04/16,07/07/16,DPO AE 69480,-220.28
fffe3300360034003800,John Faye,0.29,12.0,8.0,2264.0,Bronze,5.08,16.51,Yes,No,No,Waterways,No,Working Class,,07/30/19,07/28/19,"North Susan, PA 96238",-190.7
fffe3900300036003900,Juanita Priester,0.19,36.0,9.0,691453.0,Marble,1308.83,93.62,Yes,No,Yes,Waterways,Yes,Working Class,No,11/13/16,11/15/16,"Amyborough, DC 35571",-2341.42
fffe370032003100,Melvin Miller,0.82,,13.0,2935.0,Aluminium,10.4,16.43,No,No,No,,No,Working Class,No,10/27/16,10/27/16,"Rhondaborough, SC 91830",-589.58
fffe3100350036003500,Michael Connors,0.38,34.0,21.0,13800.0,Clay,27.66,63.16,No,No,No,Roadways,Yes,Working Class,No,09/25/18,09/28/18,"Mcdonaldmouth, OR 00996",-733.34
fffe3300380038003700,Carrie Du,0.32,19.0,14.0,206436.0,Marble,745.54,30.88,No,No,No,Roadways,No,Working Class,No,05/21/15,05/19/15,"North Laurenshire, WA 31870",-3804.23
fffe3200370035003100,Joseph Desrosiers,,18.0,10.0,185994.0,Stone,446.02,56.7,Yes,No,Yes,,No,Working Class,No,04/21/18,04/19/18,"Port Jimmy, WA 90582",-3656.01
fffe330033003200,George Cox,0.27,24.0,9.0,992.0,Aluminium,3.94,11.98,Yes,No,Yes,Waterways,No,Working Class,,06/15/16,06/11/16,"Markmouth, MT 87596",-171.98
fffe3300340031003200,Theresa White,,32.0,16.0,,Clay,21.21,38.07,No,No,No,,Yes,Wealthy,No,05/26/18,05/28/18,"Nicholasstad, NE 55672",-643.39
fffe390039003700,Eileen Eades,0.42,,7.0,889.0,Clay,4.71,10.68,No,No,No,Roadways,Yes,Working Class,No,05/03/19,05/03/19,"Williamsburgh, IN 50638",-156.15
fffe3600350033003700,Barney Carter,0.74,13.0,6.0,2304.0,Bronze,10.05,20.22,No,Yes,Yes,Roadways,No,Working Class,No,02/01/17,02/02/17,"Danielleview, HI 03448",-415.93
fffe3700310033003000,Douglas Zaleski,0.7,24.0,8.0,1373.0,Aluminium,5.41,11.5,No,No,Yes,Roadways,No,Working Class,No,09/12/15,09/10/15,"Crystalstad, KY 50247",-364.96
fffe3900390033003000,Joseph Madden,0.49,14.0,6.0,59415.0,Stone,88.13,68.97,Yes,No,No,Airways,No,Working Class,Yes,04/22/15,04/22/15,"South Natalie, NV 89651",-2349.11
fffe3500350039003200,Terry Napoli,0.55,30.0,15.0,1195439.0,Marble,2611.64,27.57,Yes,No,Yes,Waterways,No,Working Class,No,09/05/17,09/05/17,"Reneetown, OK 67164",-6854.04
fffe3500360038003400,Christina Lowry,,30.0,23.0,43271.0,Bronze,37.57,26.55,Yes,Yes,No,Airways,No,Wealthy,Yes,11/09/18,11/06/18,"West Jessica, GA 31248",-647.02
fffe3200350032003400,Albert Diaz,0.19,12.0,6.0,15091.0,Marble,10.94,43.43,Yes,No,Yes,,No,Working Class,Yes,05/11/19,05/11/19,"Terryberg, AK 91688",-368.34
fffe3300330038003600,Joanne Henderson,0.35,14.0,8.0,18983.0,Marble,81.02,27.81,No,No,No,,No,Working Class,No,08/15/15,08/12/15,"New Jillside, CT 30339",-846.85
fffe3600300038003300,Myrta Gonzales,0.5,15.0,6.0,,Wood,3.86,24.32,No,No,Yes,,No,Working Class,No,07/28/17,07/26/17,"Johntown, NH 58621",-271.58
fffe310030003100,Gabrielle Marcus,0.81,33.0,12.0,2138.0,Aluminium,3.65,13.14,No,No,No,Roadways,No,Wealthy,No,02/10/15,02/06/15,"Jimenezborough, WA 49466",-528.19
fffe3800360031003400,Tina Stokes,0.54,26.0,12.0,14026.0,Bronze,56.14,93.29,Yes,No,No,Waterways,No,Working Class,No,10/21/16,10/18/16,"Sheliaport, SD 19485",-1567.14
fffe3400320039003300,Leroy Wilda,0.35,40.0,9.0,24806.0,Bronze,99.99,44.9,No,Yes,No,Roadways,No,Working Class,No,01/11/15,01/10/15,"Lake Jonathanhaven, KS 47399",-1384.96
fffe3400330036003200,Amanda Jackson,0.37,12.0,6.0,38916.0,Stone,70.44,33.78,Yes,No,No,,No,Working Class,No,12/07/18,12/06/18,"Tommyshire, KY 88864",-788.8
fffe3400360033003900,Joseph Woody,0.52,15.0,8.0,5556.0,Brass,12.68,44.02,Yes,Yes,Yes,Airways,No,Wealthy,No,08/17/16,08/16/16,"East Dylantown, VA 98232",-737.66
fffe3400390039003600,Lori Welty,0.55,17.0,,293.0,Aluminium,5.59,23.25,Yes,No,No,,No,Working Class,No,09/15/16,09/11/16,"East Eric, WI 35047",-357.17
fffe3400360034003500,Janette Davis,0.38,29.0,19.0,51086.0,Brass,235.36,37.23,Yes,No,No,Waterways,No,Wealthy,No,11/19/16,11/19/16,"Port Edward, TX 37710",-929.52
fffe3900330036003600,Marie Gooding,0.12,15.0,7.0,2051.0,Bronze,3.74,20.05,Yes,Yes,Yes,Airways,No,Wealthy,Yes,07/12/18,07/11/18,"Richardfort, WA 94428",-246.73
fffe3100320032003800,Rodney Kennedy,,,7.0,30662.0,,21.27,42.87,No,No,No,Roadways,No,Working Class,No,04/08/17,04/09/17,"Brianside, TN 69429",-359.93
fffe3200350037003300,Clifford Sandoval,0.22,18.0,,462939.0,Stone,1068.01,44.88,No,Yes,No,Airways,No,Wealthy,No,01/06/15,01/10/15,"West Christopher, TX 27428",-4069.45
fffe3700350032003300,Nancy Romanick,0.13,45.0,24.0,86188.0,Bronze,62.17,91.54,Yes,Yes,No,Airways,No,Working Class,No,09/26/18,09/26/18,FPO AE 84702,-1110.42
fffe3800310031003100,Linda Camire,0.6,8.0,4.0,59.0,Wood,5.5,14.53,Yes,No,Yes,Roadways,No,Working Class,No,09/20/15,09/19/15,"Stevenshaven, WY 29369",-247.89
fffe3400370034003300,John Burch,0.32,34.0,21.0,9266.0,Clay,12.97,86.36,Yes,No,Yes,Waterways,Yes,Wealthy,,03/05/19,03/03/19,"North Bill, RI 43907",-1041.98
fffe3900310036003700,Robert Dessecker,0.71,17.0,7.0,6252.0,Brass,40.39,51.8,No,No,No,Roadways,No,Wealthy,No,11/13/18,11/13/18,"Port Robert, ND 31714",-1120.9
fffe3400300037003400,Earl Fritz,0.36,42.0,17.0,66743.0,Brass,128.23,94.97,No,No,Yes,Airways,No,Working Class,No,03/25/15,03/24/15,"Andersonfurt, WY 18202",-1688.23
fffe3100310031003100,Janice Rodriguez,0.8,41.0,18.0,7131016.0,Stone,29508.07,78.65,Yes,Yes,No,Airways,No,Working Class,No,07/19/18,07/23/18,"Chelseafurt, KY 23978",-252965.99
fffe3700370035003000,Robert Hopkins,0.12,9.0,4.0,84.0,Aluminium,4.97,22.53,No,No,No,Airways,No,Working Class,No,01/20/17,01/23/17,"West Garrettview, ID 27625",-131.56
fffe3200340030003400,Michelle Gutierrez,0.36,13.0,7.0,2353.0,,5.27,16.54,Yes,No,No,,No,Working Class,No,12/27/17,12/27/17,"Joseview, MN 78113",-198.3
fffe3300330039003800,Pamella Banks,0.93,31.0,16.0,396.0,Wood,5.2,20.05,No,No,No,,No,Working Class,Yes,07/03/18,07/03/18,"Port Mark, AR 14778",-985.38
fffe3700360033003600,Jason Torrey,0.04,20.0,16.0,589.0,Wood,4.77,13.5,Yes,Yes,Yes,Airways,No,Working Class,No,06/03/19,06/07/19,"East Thomaston, KY 41880",-125.19
fffe3300320037003500,Carolyn Bathke,0.82,9.0,5.0,857.0,Bronze,6.28,10.94,No,Yes,No,,No,Wealthy,Yes,08/02/18,07/29/18,"Danielland, WA 59477",-528.23
fffe3900300031003000,Maria Mccay,0.27,8.0,5.0,12183.0,Stone,25.65,77.68,Yes,Yes,Yes,Airways,No,Wealthy,No,08/11/17,08/15/17,"Maryfurt, NE 25822",-647.4
fffe3500340039003300,Kenneth Pullman,0.58,3.0,3.0,,Wood,5.19,11.15,No,No,Yes,,No,Working Class,,02/17/16,02/17/16,"Clarkstad, AZ 84524",-153.33
fffe3700330037003700,Marie Eldred,0.18,14.0,8.0,823.0,Clay,5.12,12.52,Yes,No,Yes,Waterways,Yes,Working Class,No,02/19/16,02/23/16,"Whitefurt, MI 33822",-140.47
fffe3600390034003200,Thomas Barbee,0.15,21.0,7.0,133898.0,Marble,393.73,81.24,Yes,Yes,No,Airways,No,Working Class,No,04/23/19,04/20/19,"Michelleview, KS 55705",-1413.81
